House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
7,Griffiths Coves,James,Lewis,75,Husband,Married,Male,"Retired Surveyor, insurance",None,None
8,Griffiths Coves,Tracey,Parkes-Storey,34,Head,Married,Female,"Administrator, sports",None,Christian
8,Griffiths Coves,Oliver,Parkes-Storey,35,Husband,Married,Male,"Surveyor, insurance",None,Christian
8,Griffiths Coves,Owen,Parkes-Storey,4,Son,NA,Male,Child,None,NA
8,Griffiths Coves,Antony,Parkes-Storey,0,Son,NA,Male,Child,None,NA
9,Griffiths Coves,Jordan,Horton,49,Head,Married,Male,"Programme researcher, broadcasting/film/video",None,Catholic
9,Griffiths Coves,Danielle,Horton,47,Wife,Married,Female,Community education officer,None,None
10,Griffiths Coves,Denis,Pope,36,Head,Single,Male,Learning mentor,None,Christian
11,Griffiths Coves,Bradley,Norris,64,Head,Single,Male,Unemployed,None,Methodist
12,Griffiths Coves,Mohamed,Walsh,69,Head,Married,Male,"Retired Scientist, research (maths)",None,Christian
12,Griffiths Coves,Lucy,Walsh,70,Wife,Married,Female,Retired Operational investment banker,None,None
12,Griffiths Coves,Laura,Walsh,15,Granddaughter,NA,Female,Student,None,NA
12,Griffiths Coves,Leanne,Walsh,11,Granddaughter,NA,Female,Student,None,NA
12,Griffiths Coves,Clifford,Hawkins-Walsh,6,Grandson,NA,Male,Student,None,NA
13,Griffiths Coves,Abbie,Shepherd,20,Head,Single,Female,University Student,None,Catholic
13,Griffiths Coves,Harriet,Tomlinson,18,None,Single,Female,University Student,None,Christian
14,Griffiths Coves,Terence,Lloyd,43,Head,Married,Male,Marine scientist,None,None
14,Griffiths Coves,Richard,Lloyd,44,Husband,Married,Male,Patent examiner,None,None
15,Griffiths Coves,Claire,Begum,53,Head,Married,Female,Chief of Staff,None,Christian
15,Griffiths Coves,Leigh,Begum,53,Husband,Married,Male,Retail banker,None,None
15,Griffiths Coves,Josh,Begum,22,Son,Single,Male,University Student,None,Christian
15,Griffiths Coves,Jill,Begum,3,Daughter,NA,Female,Child,None,NA
16,Griffiths Coves,Denis,Morrison,84,Head,Widowed,Male,Retired Occupational psychologist,None,Methodist
17,Griffiths Coves,Amanda,Schofield,31,Head,Married,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
17,Griffiths Coves,Jason,Schofield,33,Husband,Married,Male,Outdoor activities/education manager,None,None
17,Griffiths Coves,Rebecca,Schofield,3,Step-Daughter,NA,Female,Child,None,NA
18,Griffiths Coves,Philip,Rowe,47,Head,Single,Male,Unemployed,None,Christian
18,Griffiths Coves,Vincent,Rowe,5,Son,NA,Male,Student,None,NA
19,Griffiths Coves,Helen,Davies,42,Head,Married,Female,IT trainer,None,None
19,Griffiths Coves,Wayne,Davies,44,Husband,Married,Male,Paediatric nurse,None,None
19,Griffiths Coves,Graham,Wright-Davies,6,Son,NA,Male,Student,None,NA
20,Griffiths Coves,Hayley,Baker,60,Head,Married,Female,Unemployed,None,Christian
20,Griffiths Coves,Dominic,Baker,57,Husband,Married,Male,Police officer,None,Christian
20,Griffiths Coves,Beverley,Baker,24,Daughter,Single,Female,Sales promotion account executive,None,Christian
20,Griffiths Coves,Suzanne,Baker,22,Daughter,Divorced,Female,University Student,None,Christian
20,Griffiths Coves,Amber,Baker,22,Daughter,Divorced,Female,University Student,None,None
21,Griffiths Coves,Nathan,Stokes,58,Head,Divorced,Male,"Psychologist, forensic",None,None
21,Griffiths Coves,Christian,Glover,12,Grandson,NA,Male,Student,None,NA
22,Griffiths Coves,Arthur,Clarke,27,Head,Single,Male,Unemployed,None,None
22,Griffiths Coves,Jade,Davison,28,Lodger,Divorced,Female,Tourist information centre manager,None,None
22,Griffiths Coves,Charles,Oliver,43,Sibling,Single,Male,Risk manager,None,None
23,Griffiths Coves,Mary,Jones,55,Head,Married,Female,Patent attorney,None,Christian
23,Griffiths Coves,Alexander,Jones,58,Husband,Married,Male,Unemployed,None,Christian
24,Griffiths Coves,Louise,Edwards,22,Head,Single,Female,University Student,None,None
24,Griffiths Coves,Rachael,Bryant,22,None,Single,Female,University Student,None,Christian
25,Griffiths Coves,Kieran,Miller,43,Head,Single,Male,Facilities manager,None,Catholic
25,Griffiths Coves,Callum,John,56,None,Single,Male,Armed forces logistics/support/administrative officer,None,Catholic
25,Griffiths Coves,Henry,White,51,None,Divorced,Male,Music tutor,None,Christian
25,Griffiths Coves,Leslie,Holt,61,None,Single,Male,Drilling engineer,None,Catholic
25,Griffiths Coves,Clifford,Griffiths,51,None,Single,Male,Marketing executive,None,Christian
26,Griffiths Coves,Samantha,Norman,72,Head,Married,Female,Retired Museum/gallery conservator,None,None
26,Griffiths Coves,Norman,Norman,76,Husband,Married,Male,"Retired Programme researcher, broadcasting/film/video",None,None
27,Griffiths Coves,Justin,Harris,39,Head,Single,Male,Chief Executive Officer,None,Sikh
27,Griffiths Coves,Arthur,Buckley,27,None,Single,Male,Recruitment consultant,None,Catholic
27,Griffiths Coves,Robin,Phillips,58,None,Single,Male,"Restaurant manager, fast food",None,Catholic
28,Griffiths Coves,Annette,Smith,81,Head,Married,Female,"Retired Research officer, government",None,Christian
28,Griffiths Coves,Shaun,Smith,83,Husband,Married,Male,"Retired Accountant, chartered certified",None,None
28,Griffiths Coves,Samantha,Wright-Smith,42,Daughter,Single,Female,Rural practice surveyor,None,Christian
29,Griffiths Coves,Nicola,Norton,35,Head,Married,Female,Visual merchandiser,None,Catholic
29,Griffiths Coves,Rhys,Norton,39,Husband,Married,Male,Dramatherapist,None,None
29,Griffiths Coves,Chelsea,Norton,9,Daughter,NA,Female,Student,None,NA
30,Griffiths Coves,Yvonne,Wilson,37,Head,Married,Female,Clinical research associate,None,Christian
30,Griffiths Coves,Thomas,Wilson,40,Husband,Married,Male,Chiropractor,None,Christian
30,Griffiths Coves,Louis,Wilson,17,Son,NA,Male,Student,None,NA
30,Griffiths Coves,Karl,Wilson,6,Son,NA,Male,Student,None,NA
30,Griffiths Coves,Peter,Wilson,3,Son,NA,Male,Child,None,NA
31,Griffiths Coves,Cheryl,Jones,58,Head,Single,Female,Ophthalmologist,None,Catholic
31,Griffiths Coves,Andrea,Jones,17,Granddaughter,NA,Female,Student,None,NA
31,Griffiths Coves,Kevin,Jones,14,Grandson,NA,Male,Student,None,NA
31,Griffiths Coves,Dawn,Moore,14,Granddaughter,NA,Female,Student,None,NA
31,Griffiths Coves,Nicola,Kennedy,9,Granddaughter,NA,Female,Student,None,NA
32,Griffiths Coves,Harry,Harvey,44,Head,Divorced,Male,Customer service manager,None,None
33,Griffiths Coves,James,Thompson,19,Head,Single,Male,University Student,None,Christian
33,Griffiths Coves,Arthur,Johnson,22,None,Single,Male,University Student,None,None
33,Griffiths Coves,Brett,Hale,18,None,Single,Male,University Student,None,None
33,Griffiths Coves,Michelle,Fisher,20,None,Single,Female,University Student,None,None
34,Griffiths Coves,Paige,Parkes,56,Head,Single,Female,Restaurant manager,None,Christian
34,Griffiths Coves,Samuel,Parkes,21,Son,Widowed,Male,University Student,None,Christian
35,Griffiths Coves,Robin,Mason,46,Head,Single,Male,"Solicitor, Scotland",None,Catholic
35,Griffiths Coves,Tracy,Page,45,Partner,Single,Female,Operations geologist,None,None
1,Horse Pines,Janice,Allen,24,Head,Single,Female,PhD Student,None,Christian
1,Horse Pines,Nicholas,Marshall,18,None,Single,Male,University Student,None,Methodist
2,Horse Pines,Maureen,Patel,102,Head,Married,Female,Retired Physiotherapist,None,None
2,Horse Pines,Mitchell,Patel,99,Husband,Married,Male,Retired Print production planner,None,None
3,Horse Pines,Jade,Miah,49,Head,Divorced,Female,Unemployed,None,Christian
3,Horse Pines,Phillip,Miah,13,Son,NA,Male,Student,None,NA
3,Horse Pines,Grace,Miah,13,Daughter,NA,Female,Student,None,NA
3,Horse Pines,Sophie,Miah,5,Daughter,NA,Female,Student,None,NA
3,Horse Pines,Rosemary,Higgins-Miah,1,Daughter,NA,Female,Child,None,NA
3,Horse Pines,Roy,Parsons,62,Lodger,Divorced,Male,Estate manager/land agent,None,Catholic
3,Horse Pines,Bradley,Smith,41,Lodger,Single,Male,Forensic psychologist,None,None
3,Horse Pines,Suzanne,Rose,63,Sibling,Single,Female,Unemployed,None,Christian
3,Horse Pines,Joan,Bennett,20,Lodger,Divorced,Female,University Student,None,Christian
3,Horse Pines,Vanessa,Ball,22,Lodger,Single,Female,University Student,None,None
3,Horse Pines,Jenna,Bibi,27,Lodger,Single,Female,"Designer, multimedia",None,Sikh
3,Horse Pines,Clive,Kirk,62,Sibling,Single,Male,Artist,None,None
3,Horse Pines,Cameron,Mitchell,40,Lodger,Single,Male,Chief Operating Officer,None,Methodist
3,Horse Pines,Gavin,Nash,50,Lodger,Single,Male,Unemployed,None,None
3,Horse Pines,Craig,Williams,39,Lodger,Single,Male,Hydrographic surveyor,None,Methodist
3,Horse Pines,Max,Booth,55,Lodger,Single,Male,"Librarian, public",None,Christian
3,Horse Pines,Ryan,Miah,30,Lodger,Single,Male,Social researcher,None,None
3,Horse Pines,Dominic,Jones,57,Lodger,Single,Male,Commercial/residential surveyor,None,Christian
4,Horse Pines,Chelsea,Holland,29,Head,Single,Female,Management consultant,None,None
4,Horse Pines,Mitchell,Holland,3,Son,NA,Male,Child,None,NA
4,Horse Pines,Charlie,Holland,1,Son,NA,Male,Child,None,NA
4,Horse Pines,Joshua,Wood,59,Lodger,Single,Male,"Surveyor, hydrographic",None,Christian
4,Horse Pines,Sophie,Edwards,24,Lodger,Single,Female,Solicitor,None,Muslim
5,Horse Pines,Nicola,Harris,61,Head,Married,Female,Dance movement psychotherapist,None,Christian
5,Horse Pines,Gerald,Harris,64,Husband,Married,Male,"Research officer, trade union",Deaf,Christian
5,Horse Pines,Elliot,Harris,37,Son,Single,Male,"Journalist, newspaper",None,None
5,Horse Pines,Kerry,Harris,37,Daughter,Single,Female,Health and safety adviser,None,Christian
5,Horse Pines,Georgia,Harris,33,Daughter,Single,Female,"Engineer, aeronautical",None,None
5,Horse Pines,Robert,Harris,29,Son,Single,Male,"Engineer, drilling",None,Christian
5,Horse Pines,Tony,Harris,25,Son,Divorced,Male,Operations geologist,None,None
5,Horse Pines,Natasha,Harris,24,Daughter,Divorced,Female,Arboriculturist,None,Christian
5,Horse Pines,Elizabeth,Harris,23,Daughter,Divorced,Female,Interpreter,None,Christian
5,Horse Pines,Jessica,Harris,19,Daughter,Single,Female,University Student,None,Christian
5,Horse Pines,Kim,Harris,17,Daughter,NA,Female,Student,None,NA
5,Horse Pines,Stanley,Harris,17,Son,NA,Male,Student,None,NA
5,Horse Pines,Bethany,Harris,13,Daughter,NA,Female,Student,None,NA
5,Horse Pines,Jay,Harris,11,Son,NA,Male,Student,None,NA
5,Horse Pines,Clive,Harris,10,Son,NA,Male,Student,None,NA
6,Horse Pines,Margaret,Smith,70,Head,Married,Female,"Retired Scientist, clinical (histocompatibility and immunogenetics)",None,None
6,Horse Pines,Albert,Smith,72,Husband,Married,Male,Retired Customer service manager,None,None
6,Horse Pines,Josephine,Smith,12,Granddaughter,NA,Female,Student,None,NA
6,Horse Pines,Shaun,Williams,10,Grandson,NA,Male,Student,None,NA
6,Horse Pines,Dennis,Williams,8,Grandson,NA,Male,Student,None,NA
7,Horse Pines,Nicola,Simpson,52,Head,Married,Female,Unemployed,None,None
7,Horse Pines,Leigh,Simpson,53,Husband,Married,Male,"Administrator, sports",None,None
7,Horse Pines,Toby,Simpson,20,Son,Divorced,Male,"Designer, multimedia",None,None
7,Horse Pines,Nicole,Simpson,13,Daughter,NA,Female,Student,None,NA
7,Horse Pines,Jeremy,Simpson,9,Son,NA,Male,Student,None,NA
8,Horse Pines,Ashleigh,Bell-Rees,61,Head,Married,Female,Heritage manager,None,None
8,Horse Pines,Max,Bell-Rees,61,Husband,Married,Male,Learning mentor,None,None
8,Horse Pines,Samantha,Bell-Rees,34,Daughter,Single,Female,Dealer,None,None
8,Horse Pines,Paige,Bell-Rees,31,Daughter,Single,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
8,Horse Pines,Kerry,Bell-Rees,28,Daughter,Divorced,Female,Solicitor,None,None
9,Horse Pines,Elizabeth,Wright-Humphries,40,Head,Married,Female,Clinical biochemist,None,None
9,Horse Pines,Ronald,Wright-Humphries,40,Husband,Married,Male,Ambulance person,None,None
9,Horse Pines,Elliott,Wright-Humphries,15,Son,NA,Male,Student,None,NA
9,Horse Pines,Jade,Wright-Humphries,15,Daughter,NA,Female,Student,None,NA
9,Horse Pines,Joel,Wright-Humphries,12,Son,NA,Male,Student,None,NA
9,Horse Pines,Ashley,Jones-Wright-Humphries,6,Son,NA,Male,Student,None,NA
9,Horse Pines,Mandy,Jones-Wright-Humphries,6,Daughter,NA,Female,Student,None,NA
9,Horse Pines,Graham,Jones-Wright-Humphries,2,Son,NA,Male,Child,None,NA
9,Horse Pines,Hugh,Cooper,33,Lodger,Single,Male,Optometrist,None,None
10,Horse Pines,Harriet,Jones,40,Head,Married,Female,"Therapist, art",None,Christian
10,Horse Pines,Edward,Jones,42,Husband,Married,Male,Chiropodist,None,None
10,Horse Pines,Jacob,Jones,12,Son,NA,Male,Student,None,NA
10,Horse Pines,Hilary,Saunders,11,Daughter,NA,Female,Student,None,NA
10,Horse Pines,Lawrence,Saunders,8,Son,NA,Male,Student,None,NA
10,Horse Pines,Tony,Saunders,4,Son,NA,Male,Child,None,NA
10,Horse Pines,Jacqueline,Saunders,1,Daughter,NA,Female,Child,None,NA
10,Horse Pines,Ellie,Saunders,0,Daughter,NA,Female,Child,None,NA
10,Horse Pines,Mohammed,Hill,57,Lodger,Divorced,Male,Learning disability nurse,None,Christian
10,Horse Pines,Derek,Francis,45,Lodger,Single,Male,Energy engineer,None,Christian
11,Horse Pines,Pauline,Foster,47,Head,Married,Female,Diagnostic radiographer,None,Catholic
11,Horse Pines,Rhys,Foster,50,Husband,Married,Male,Legal secretary,None,Catholic
11,Horse Pines,Jake,Kay-Foster,17,Son,NA,Male,Student,None,NA
11,Horse Pines,Kate,Kay-Foster,15,Daughter,NA,Female,Student,None,NA
11,Horse Pines,Toby,Kay-Foster,8,Son,NA,Male,Student,None,NA
1,Shaw Avenue,Alex,Hutchinson,54,Head,Widowed,Male,Associate Professor,None,Christian
2,Shaw Avenue,Molly,Williams,33,Head,Married,Female,Unemployed,None,Methodist
2,Shaw Avenue,Tom,Williams,35,Husband,Married,Male,"Psychologist, forensic",None,None
2,Shaw Avenue,Danny,Williams,4,Son,NA,Male,Child,None,NA
3,Shaw Avenue,Emma,Jones,69,Head,Married,Female,Retired Horticultural therapist,None,Christian
3,Shaw Avenue,Frederick,Jones,68,Husband,Married,Male,"Retired Engineer, maintenance (IT)",None,Christian
3,Shaw Avenue,Gordon,Jones,47,Son,Single,Male,"Designer, fashion/clothing",None,Christian
4,Shaw Avenue,Kyle,Davies,22,Head,Married,Male,University Student,None,None
4,Shaw Avenue,Shannon,Davies,20,Wife,Married,Female,"Therapist, music",None,None
5,Shaw Avenue,Lynda,Francis,45,Head,Married,Female,Bonds trader,None,Christian
5,Shaw Avenue,Clive,Francis,44,Husband,Married,Male,Bonds trader,None,None
5,Shaw Avenue,Julia,Francis,14,Daughter,NA,Female,Student,None,NA
6,Shaw Avenue,Lynda,Turner,52,Head,Single,Female,Advice worker,None,Christian
6,Shaw Avenue,Gareth,Lyons,55,Partner,Single,Male,Sub,None,Christian
6,Shaw Avenue,Elliott,Turner,15,Son,NA,Male,Student,None,NA
6,Shaw Avenue,Zoe,Turner,11,Daughter,NA,Female,Student,None,NA
7,Shaw Avenue,Lauren,Manning,43,Head,Married,Female,"Engineer, water",None,None
7,Shaw Avenue,Roger,Manning,44,Husband,Married,Male,Solicitor,None,None
7,Shaw Avenue,Adrian,Manning,16,Son,NA,Male,Student,None,NA
7,Shaw Avenue,Gemma,Manning,14,Daughter,NA,Female,Student,None,NA
7,Shaw Avenue,Pauline,Manning,12,Daughter,NA,Female,Student,None,NA
1,Pilgrimnet Avenue,Lucy,May,49,Head,Married,Female,Dispensing optician,None,Muslim
1,Pilgrimnet Avenue,Jack,May,48,Husband,Married,Male,"Engineer, mining",None,None
1,Pilgrimnet Avenue,Rachel,May,17,Daughter,NA,Female,Student,None,NA
1,Pilgrimnet Avenue,Alex,May,16,Son,NA,Male,Student,None,NA
1,Pilgrimnet Avenue,Craig,May,12,Son,NA,Male,Student,None,NA
2,Pilgrimnet Avenue,Joan,Russell,49,Head,Divorced,Female,Physiological scientist,None,Christian
2,Pilgrimnet Avenue,Marcus,Williams-Russell,8,Son,NA,Male,Student,None,NA
2,Pilgrimnet Avenue,Angela,Williams-Russell,7,Adopted Daughter,NA,Female,Student,None,NA
3,Pilgrimnet Avenue,Jodie,Bennett,35,Head,Married,Female,Purchasing manager,None,Catholic
3,Pilgrimnet Avenue,Gerald,Bennett,38,Husband,Married,Male,Theme park manager,None,None
3,Pilgrimnet Avenue,Brett,Bennett,5,Son,NA,Male,Student,None,NA
4,Pilgrimnet Avenue,Raymond,Douglas,27,Head,Married,Male,Unemployed,None,Muslim
4,Pilgrimnet Avenue,Karen,Douglas,25,Wife,Married,Female,Educational psychologist,None,None
4,Pilgrimnet Avenue,Adrian,Douglas,3,Son,NA,Male,Child,None,NA
4,Pilgrimnet Avenue,Toby,Douglas,2,Son,NA,Male,Child,None,NA
5,Pilgrimnet Avenue,Frances,McDonald,27,Head,Married,Female,Exercise physiologist,None,None
5,Pilgrimnet Avenue,Dominic,McDonald,30,Husband,Married,Male,Legal executive,None,None
5,Pilgrimnet Avenue,Sheila,McDonald,1,Daughter,NA,Female,Child,None,NA
6,Pilgrimnet Avenue,Jonathan,Smith,76,Head,Married,Male,Retired Market researcher,None,None
6,Pilgrimnet Avenue,Marilyn,Khan,75,Wife,Married,Female,Retired Consulting civil engineer,None,None
7,Pilgrimnet Avenue,Carl,Moore,26,Head,Single,Male,"Sales professional, IT",None,None
7,Pilgrimnet Avenue,Josh,Mitchell,33,None,Single,Male,Armed forces logistics/support/administrative officer,None,Christian
7,Pilgrimnet Avenue,Lawrence,Jones,32,None,Single,Male,Environmental consultant,None,Muslim
8,Pilgrimnet Avenue,Toby,Hutchinson,29,Head,Single,Male,Primary school teacher,None,Methodist
8,Pilgrimnet Avenue,Douglas,Rogers,46,None,Single,Male,Computer games developer,None,Methodist
8,Pilgrimnet Avenue,Kieran,Reed,37,None,Single,Male,Forest/woodland manager,None,Catholic
9,Pilgrimnet Avenue,Susan,Ahmed,29,Head,Single,Female,Chief Technology Officer,None,None
9,Pilgrimnet Avenue,Leah,Jordan,39,None,Single,Female,Gaffer,None,None
9,Pilgrimnet Avenue,Hilary,Barker,59,None,Divorced,Female,Research scientist (maths),None,Christian
10,Pilgrimnet Avenue,Diana,Mills,47,Head,Single,Female,Unemployed,None,None
10,Pilgrimnet Avenue,Kirsty,Mills,13,Daughter,NA,Female,Student,None,NA
10,Pilgrimnet Avenue,Dennis,Mills,10,Son,NA,Male,Student,None,NA
11,Pilgrimnet Avenue,Amber,Thomas,56,Head,Single,Female,Clinical research associate,None,Catholic
11,Pilgrimnet Avenue,Craig,Thomas,12,Grandson,NA,Male,Student,None,NA
12,Pilgrimnet Avenue,Georgina,Knight,50,Head,Single,Female,"Engineer, biomedical",None,Christian
12,Pilgrimnet Avenue,Frank,Ross,51,Partner,Single,Male,"Engineer, drilling",None,Christian
12,Pilgrimnet Avenue,Georgia,Johnson,10,Daughter,NA,Female,Student,None,NA
13,Pilgrimnet Avenue,Naomi,Walsh,93,Head,Widowed,Female,"Retired Surveyor, hydrographic",None,Methodist
14,Pilgrimnet Avenue,Kathryn,Howard,43,Head,Married,Female,Marketing executive,None,None
14,Pilgrimnet Avenue,Charlie,Howard,45,Husband,Married,Male,Art gallery manager,None,None
15,Pilgrimnet Avenue,Jean,Brown,73,Head,Married,Female,Retired Gaffer,None,Christian
15,Pilgrimnet Avenue,Danny,Brown,76,Husband,Married,Male,Retired Advertising copywriter,None,Christian
15,Pilgrimnet Avenue,Christine,Brown,39,Daughter,Single,Female,"Librarian, academic",None,Christian
15,Pilgrimnet Avenue,Leonard,Brown,39,Son,Single,Male,Dietitian,None,Christian
16,Pilgrimnet Avenue,Rhys,Vincent,49,Head,Married,Male,"Teacher, adult education",None,None
16,Pilgrimnet Avenue,Charlotte,Vincent,47,Wife,Married,Female,Corporate treasurer,None,None
16,Pilgrimnet Avenue,Nigel,Vincent,23,Son,Single,Male,Unemployed,None,None
16,Pilgrimnet Avenue,Ellie,Vincent,19,Daughter,Single,Female,University Student,None,None
16,Pilgrimnet Avenue,Kate,Vincent,15,Daughter,NA,Female,Student,None,NA
17,Pilgrimnet Avenue,Leanne,Nixon,46,Head,Single,Female,"Teacher, early years/pre",None,Catholic
17,Pilgrimnet Avenue,Alex,Nixon,13,Son,NA,Male,Student,None,NA
17,Pilgrimnet Avenue,Jack,Nixon,8,Son,NA,Male,Student,None,NA
18,Pilgrimnet Avenue,Jay,Parkinson,41,Head,Married,Male,"Conservator, furniture",None,Catholic
18,Pilgrimnet Avenue,Amanda,Parkinson,37,Wife,Married,Female,Lobbyist,None,Catholic
18,Pilgrimnet Avenue,Nigel,Martin,48,Lodger,Single,Male,"Engineer, water",None,Catholic
19,Pilgrimnet Avenue,Gillian,Clark,48,Head,Married,Female,Learning mentor,None,Christian
19,Pilgrimnet Avenue,Terry,Clark,51,Husband,Married,Male,Quality manager,None,None
19,Pilgrimnet Avenue,Rita,Clark,14,Daughter,NA,Female,Student,None,NA
20,Pilgrimnet Avenue,Darren,Hayes,63,Head,Single,Male,Museum/gallery conservator,None,Christian
20,Pilgrimnet Avenue,Jacqueline,Jones,21,None,Single,Female,University Student,None,Catholic
20,Pilgrimnet Avenue,Alan,Brookes,61,None,Single,Male,Secretary/administrator,None,None
21,Pilgrimnet Avenue,Joe,Cooper,53,Head,Single,Male,Sports therapist,None,Christian
21,Pilgrimnet Avenue,Joanna,Marsh,27,None,Single,Female,Unemployed,Blind,Christian
21,Pilgrimnet Avenue,Matthew,Lewis,23,None,Single,Male,Pension scheme manager,None,Catholic
22,Pilgrimnet Avenue,Paula,Moore,41,Head,Married,Female,Environmental manager,None,Christian
22,Pilgrimnet Avenue,Matthew,Moore,44,Husband,Married,Male,"Engineer, land",None,Christian
22,Pilgrimnet Avenue,Connor,Moore,12,Son,NA,Male,Student,None,NA
23,Pilgrimnet Avenue,Lydia,Nixon,61,Head,Single,Female,"Scientist, research (life sciences)",None,Methodist
23,Pilgrimnet Avenue,Angela,Nixon,15,Granddaughter,NA,Female,Student,None,NA
24,Pilgrimnet Avenue,Rita,Thompson,69,Head,Single,Female,Retired Speech and language therapist,None,Christian
24,Pilgrimnet Avenue,Emma,Thompson,32,Daughter,Single,Female,Therapeutic radiographer,None,Christian
24,Pilgrimnet Avenue,Karl,Thompson,32,Son,Single,Male,Industrial/product designer,None,Christian
25,Pilgrimnet Avenue,Joanne,Kelly,57,Head,Married,Female,Air traffic controller,None,Christian
25,Pilgrimnet Avenue,Stewart,Kelly,56,Husband,Married,Male,Airline pilot,None,None
25,Pilgrimnet Avenue,Declan,Kelly,14,Son,NA,Male,Student,None,NA
26,Pilgrimnet Avenue,Rosie,Bennett,40,Head,Married,Female,Educational psychologist,None,Methodist
26,Pilgrimnet Avenue,Ricky,Bennett,41,Husband,Married,Male,Unemployed,None,None
26,Pilgrimnet Avenue,Diana,Bennett,13,Daughter,NA,Female,Student,None,NA
27,Pilgrimnet Avenue,Elliott,Ward,82,Head,Widowed,Male,Retired Housing manager/officer,None,Christian
28,Pilgrimnet Avenue,Katie,Wood,44,Head,Single,Female,Glass blower/designer,None,Catholic
28,Pilgrimnet Avenue,Paul,Pratt,47,Partner,Single,Male,Medical laboratory scientific officer,None,Catholic
29,Pilgrimnet Avenue,Hugh,Brown,49,Head,Married,Male,Animal nutritionist,None,Catholic
29,Pilgrimnet Avenue,Hazel,Brown,47,Wife,Married,Female,Company secretary,None,None
29,Pilgrimnet Avenue,Natalie,Brown,17,Daughter,NA,Female,Student,None,NA
30,Pilgrimnet Avenue,Bethan,Mills,26,Head,Divorced,Female,"Secretary, company",None,None
30,Pilgrimnet Avenue,Mary,Williams,55,Visitor,Single,Female,"Therapist, sports",None,None
30,Pilgrimnet Avenue,Barry,Harding,61,Lodger,Single,Male,Television floor manager,None,None
30,Pilgrimnet Avenue,Jill,Adams,43,Lodger,Single,Female,"Designer, fashion/clothing",None,Catholic
